site_id,survey_date,pit_tag_id,capture_life_stage,capture_animal_state
72336,2016-08-14,982000365440166,adult,healthy
72336,2016-08-14,982000365440167,adult,healthy
72336,2016-08-14,982000365440170,adult,healthy
72808,2016-08-14,982000365440177,adult,healthy
72808,2016-08-14,982000365440179,adult,healthy
72808,2016-08-14,982000365440180,adult,healthy
72336,2016-08-14,982000365440184,adult,healthy
72808,2016-08-14,982000365440188,adult,healthy
72336,2016-08-14,982000365440200,adult,healthy
72808,2016-08-14,900043000104411,adult,healthy
72808,2016-08-14,982000365440202,adult,healthy
72808,2016-08-14,982000365440207,adult,healthy
72808,2016-08-14,982000365440218,adult,healthy
72808,2016-08-14,982000365440221,adult,healthy
72808,2016-08-14,982000365440226,adult,healthy
72336,2016-08-14,982000365440232,adult,healthy
72808,2016-08-14,982000365440237,adult,healthy
72808,2016-08-14,982000365440247,adult,healthy
72808,2016-08-14,982000365440250,adult,healthy
72808,2016-08-14,982000365440256,adult,healthy
72336,2016-08-14,982000365440257,adult,healthy
72336,2016-08-14,982000365440265,adult,healthy
72336,2016-08-14,982000365440267,adult,healthy
72336,2016-08-14,982000365440271,adult,healthy
72336,2016-08-14,982000365440279,adult,healthy
72336,2016-08-14,982000365440282,adult,healthy
72336,2016-08-14,982000365440286,adult,healthy
72336,2016-08-14,982000365440292,adult,healthy
72336,2016-08-14,982000365440293,adult,healthy
72808,2016-08-14,982000365440294,adult,healthy
72336,2016-08-14,982000365440296,adult,healthy
72336,2016-08-14,982000365440297,adult,healthy
72808,2016-08-14,982000365440306,adult,healthy
72808,2016-08-14,982000365440317,adult,healthy
72336,2016-08-14,982000365440321,adult,healthy
72808,2016-08-14,982000365440326,adult,healthy
72808,2016-08-14,982000365440344,adult,healthy
72808,2016-08-14,982000365440353,adult,healthy
72808,2016-08-14,982000365440356,adult,healthy
72808,2016-08-14,982000365440360,adult,healthy
72808,2016-08-14,99078591,adult,dead
72336,2016-08-14,900043000104479,adult,healthy
72336,2016-08-14,900043000108103,adult,healthy
72808,2016-08-14,900043000108116,adult,healthy
72808,2016-08-14,900043000108119,adult,healthy
72808,2016-08-14,900043000108128,adult,healthy
72808,2016-08-14,900043000108129,adult,healthy
72336,2016-08-14,900043000108136,adult,healthy
72336,2016-08-14,900043000108143,adult,healthy
72808,2016-08-14,900043000108148,adult,healthy
72808,2016-08-14,900043000108162,adult,healthy
72808,2016-08-14,80057071,adult,healthy
72808,2016-08-14,900043000108163,adult,healthy
72808,2016-08-14,900043000108165,adult,healthy
72808,2016-08-14,900043000108194,adult,healthy
72336,2016-08-14,900043000108195,adult,healthy
72808,2016-08-14,900043000108197,adult,healthy
72808,2016-08-14,900043000108200,adult,healthy
72808,2016-08-14,900043000108240,adult,healthy
72336,2016-08-14,900043000108244,adult,healthy
72808,2016-08-14,900067000114502,adult,healthy
72808,2016-08-14,900043000108249,adult,healthy
72808,2016-08-14,900043000108279,adult,healthy
72808,2016-08-14,900043000108281,adult,healthy
72808,2016-08-14,900043000108293,adult,healthy
72808,2016-08-14,900043000108295,adult,healthy
72808,2016-08-14,80066785,adult,sick
72808,2016-08-14,80577892,adult,healthy
72808,2016-08-14,80581000,adult,healthy
72808,2016-08-14,80582096,adult,healthy
72808,2016-08-14,900043000104406,adult,healthy
72336,2016-08-15,982000365440296,adult,healthy
72336,2016-08-15,982000365440301,adult,healthy
72336,2016-08-15,982000365440303,adult,healthy
72336,2016-08-15,982000365440305,adult,healthy
72808,2016-08-15,982000365440307,adult,healthy
